Transfer ID,Created on,Source Currency,Amount Sent,Amount Received
WISE-001,2026-01-15T00:00:00Z,USD,6666.67,108000054.00
WISE-002,2026-02-15T00:00:00Z,USD,6666.67,108000054.00
WISE-003,2026-03-15T00:00:00Z,USD,6666.67,108000054.00
WISE-004,2026-04-15T00:00:00Z,USD,6666.67,108000054.00
WISE-005,2026-05-15T00:00:00Z,USD,6666.67,108000054.00
WISE-006,2026-06-15T00:00:00Z,USD,6666.67,108000054.00
WISE-007,2026-07-15T00:00:00Z,USD,6666.67,108000054.00
WISE-008,2026-08-15T00:00:00Z,USD,6666.67,108000054.00
WISE-009,2026-09-15T00:00:00Z,USD,6666.67,108000054.00
WISE-010,2026-10-15T00:00:00Z,USD,6666.67,108000054.00
WISE-011,2026-11-15T00:00:00Z,USD,6666.67,108000054.00
WISE-012,2026-12-15T00:00:00Z,USD,6666.67,108000054.00
